Abad
Abellana
Aguilar
Agustín
Alcántara
Alfaro
Álvarez
Aquino
Arcilla
Arcillas
Arellano
Ávila
Báñez
Basco
Bautista
Beltrán
Borja
Briones
Bustamante
Caballero
Cabarrubias
Cabrera
Camacho
Cañete
Carreón
Casas
Castañeda
Castillo
Castro
Ceballos
Ceniza
Cervantes
Chávez
Conde
Córdova
Cortés
Cortez
Cruz
Cuesta
Cuevas
Custodio
de Guzmán
de la Cruz
del Rosario
dela Cerna
dela Cruz
dela Peña
dela Rosa
dela Torre
Delima
delos Reyes
delos Santos
Díaz
Durán
Durano
Enríquez
Espinosa
Estrada
Estrella
Fajardo
Fernández
Flores
Francisco
Fuentes
Gallardo
Garces
García
Garrido
Godinez
Gonzales
Gutiérrez
Hermoso
Hernández
Hipólito
Ibáñez
Javier
Jiménez
Juntilla
Kintanar
Laguna
Lastimosa
Logroño
López
Loreto
Lozada
Lucero
Magallanes
Marquez
Martínez
Medina
Méndez
Mercado
Miguel
Miranda
Monsanto
Montejo
Montesclaros
Morales
Morillo
Murillo
Navarro
Núñez
Ortega
Ortiz
Otero
Padilla
Palma
Parrilla
Peña
Peñalosa
Peñaranda
Pérez
Plaza
Polido
Ponce
Quijano
Rama
Ramírez
Ramos
Reyes
Rivera
Roble
Robles
Rodríguez
Rojas
Romero
Rosales
Roxas
Ruiz
Salas
Salazar
Salinas
Salvador
Sánchez
Santillán
Santos
Sarmiento
Serrano
Sevilla
Solis
Soriano
Sotto
Suárez
Tamayo
Tejada
Toledo
Tolentino
Torrejas
Torres
Valdez
Vásquez
Velasco
Vélez
Verano
Villamor
Villanueva
Villar
Villegas
Yáñez
Ybáñez
Zamora
Cano
Gaviola
Guevarra
Labastida
Legaspi
Mendiola
Mendoza
Olaivar
Sarabia
Vergara
Abella
Acosta
Espina
Formentera
Mercader
Andrade
Barbosa
Ocampo
Pimentel
Saavedra
Silva
Veloso
