Abet
Abing
Achel
Aching
Adela
Adelfa
Agatha
Aida
Aileen
Aiza
Alejang
Alfie
Alice
Alicia
Aliwang
Almeda
Althea
Amapola
Amber
Amor
An-an
Analyn
Andring
Aniana
Anipay
Annabelle
Annie
Anselma
Antoinette
Anya
Angel
Apleng
Apolonia
Apple
April
Aretha
Ariadne
Ariel
Arsenia
Arsing
Asila
Ason
Asuncion
Aurelia
Auring
Aurora
Ayanna
Baby
Babylyn
Balet
Bamba
Banban
Basilia
Bekang
Bekay
Belen
Belinda
Belle
Bernardita
Beryl
Betsy
Betty
Bingbing
Bising
Borang
Boyang
Brenda
Britney
Bubbles
Buffy
Calliope
Camille
Caria
Carlota
Carmelita
Carmen
Carol
Caroline
Catalina
Cecile
Celeste
Chacha
Chak
Chanda
Charie
Charing
Charito
Charity
Charmaine
Cheche
Cherilyn
Cherry
Cheryl
Chinchin
Chique
Chloe
Chona
Chrislyn
Christine
Cina
Cita
Clotilde
Colina
Concepcion
Conching
Consolacion
Corazon
Cordelia
Crystal
Cynthia
Daffodil
Daisy
Dalisay
Danilyn
Daphne
Daria
Darling
Daylinda
Deborah
Deling
Denise
Denver
Diana
Didang
Dina
Dinah
Dindin
Dion
Diosdada
Divina
Donah
Donna
Doris
Dulce
Ebyang
Edad
Editha
Edna
Eduarda
Efigenia
Eileen
Elda
Elisabet
Elizabeth
Ella
Elpidia
Elyang
Emak
Emalyn
Emelyn
Emilyn
Emma
Emmalyn
Eplong
Epoy
Eprol
Eri
Erlinda
Esmeralda
Estrella
Estrellita
Ethel
Eufrocina
Eulogia
Eusebia
Eustaquia
Eutiquia
Eva
Evanessa
Faith
Faviola
Felisa
Fidela
Flordeliz
Francisca
Fructuosa
Gadel
Gaudencia
Gemma
Geraldine
Gerlyn
Ginalyn
Gingging
Gingin
Girlie
Glenda
Glo
Gloria
Gorgonia
Grace
Grace Ann
Hazel
Heart
Heidi
Helena
Helga
Hermie
Herminigilda
Hideliza
Hilda
Honey
Hope
Hyacinth
Ian
Ichak
Ichel
Idad
Ikang
Imelda
Inchak
Ingrid
Ipay
Irene
Irenea
Iris
Irish
Isabel
Isabela
Isang
Ivy
Jacinta
Jade
Jaja
Jayne
Jean
Jeanette
Jelly
Jenalyn
Jenjen
Jennifer
Jenny
Jeralyn
Jerilyn
Jessah
Jessica
Jesusa
Jinjin
Jingjing
Jingle
Jobelle
Jocelyn
Johanna
Jojo
Jolina
Jonah
Jonalisa
Jonalyn
Jovelyn
Joy
Juana
Judith
Juliet
Juling
Jurita
Justine
Karen
Karet
Karya
Katie
Kaye
Kiking
Kimberly
Kina
Kingsley
Kisses
Lagrimas
Lenlen
Leslie
Lesty
Libbie
Libby
Liberacion
Liberata
Liezl
Liling
Lily
Linda
Lindsay
Lisa
Lita
Lorna
Lourdes
Love
Lovely
Lucila
Lucille
Lucy
Ludilyn
Luna
Lusing
Luz
Lynette
Lyra
Mae
Mafalda
Makring
Manilyn
Marcelina
Margaret
Margie
Margilyn
Maria
Marianing
Maribel
Maricel
Maridel
Marie
Mariel
Marielle
Marigel
Marijoy
Marilyn
Marimar
Marimel
Marinel
Marites
Marjoret
Marjorie
Marsing
Mary
Mary Joy
Matahom
Matea
Mating
Maximiana
Maxine
May
Mayang
Maymay
Melitona
Merit
Merlina
Merlinda
Milagros
Mildred
Millicent
Minmin
Minggay
Mirasol
Miyang
Moning
Mutya
Myleene
Mylene
Myrna
Nana
Nancy
Niña
Niño
Nising
Noemi
Norma
Nurhuda
Oging
Olive
Opal
Pacita
Palang
Panyang
Patring
Pearl
Pelising
Perfecta
Perla
Perlita
Perpetua
Phoebe
Pia
Piding
Pilang
Pilar
Pilising
Pina
Pinky
Pixie
Pomposa
Ponsing
Pransing
Precious
Princess
Prosperidad
Purita
Raquel
Raymunda
Raynalyn
Regine
Remrem
Rhea
Rica
Robina
Roela
Rogelyn
Rojelyn
Rosa
Rosalina
Rosario
Rosaura
Rose
Rosela
Rosita
Rowena
Rubilyn
Rufina
Salud
Samsam
Saning
Sansan
Sari
Saturnina
Sepin
Sharmaine
Sharon
Sheena
Sheera
Sheila
Shemaiah
Shera
Sherry
Sheryl
Simeona
Sita
Sitang
Soling
Sophia
Sophie
Stephanie
Suga
Sugar
Susing
Sweet
Takya
Talina
Taling
Talya
Tantan
Tanya
Tasya
Taying
Teela
Teofila
Teofilo
Teresita
Thea
Tiffany
Tikya
Tilde
Tinang
Tintin
Tiray
Tisang
Tomasa
Tosing
Toyang
Valeriana
Venus
Vicky
Vina
Wela
Welang
Wilang
Wilhelmina
Yanyan
Yenyen
Yuri
Yvonne
