abacay
abad
abadiano
abagat
abajenza
abal
abalayan
aballa
ábalos
abando
abangad
abangan
abanto
abao
ábao
abarca
abarquez
abastar
abastillas
abaya
abayon
abcede
abdon
abdulraman
abe 
abecia
abejaron
abel
abelardo
abella
abella 
abellana
abellano
abellanosa
abellera
abello
abellón
abilar
abilon
abina
abing
abiog
abion
abison
ablán
ablén
ablog
abobo
áboc
abon
abrahan
abrasaldo
abratique
abrenica
abril
abu 
abueva
abuzo
acabal
acaylar
acazo
acda
acdal
acebedo 
acepción
acero 
acierto
aclan
acmad 
acosta
acosta 
actub
acuba
acuña 
ada
adajar
adan
adang
adanza
adaya
adivino
adobas
adolfo
adora
adorable
aduana
advíncula
advíncula 
afable
aferéz
aficionado 
áfrica 
agan
aganan
agapay 
agasino 
agawin
agbon 
agbuya 
agcaoili 
agpaoa
agravante 
agris
agsangre
agsunod 
aguas 
aguda
águila 
aguilar
aguilar 
aguilera 
aguilus
aguinaldo 
aguirre 
agustín
agustín 
aila
alag
alagasi
alajar
alamares
alamo 
alano
alarcón 
alba
alberio
alcaide
alcala 
alcano
alcántara
alcántara 
alcaraz 
alcazar 
alcobera
alcones
alcover
alcoy
aldana 
alday
alde
aldion
alega
alegre
alejandro 
alejo
alejos
alfabete
alfaro
alfaro 
alfeche
alfonso 
algabre
alguno 
alianza 
alicante 
alid
alim
alimagno
alisuag
alivio
almarínez
almario
almazán 
almeda 
almenia
almerol
almirante
almojuela
almonicar
almonte
alonsagay
alonte
alonto 
alonzo 
alquiza
alvarado
álvarez
alvarez 
alvaro
alvior
amado
amagna
amancio
amante
amaro
ambajic
ambayec
ambon
ambong
ambrosio
amistad
amit
amodia
amoin
amora
amoranto
amores
ampang 
amparo 
ampatuan
amper 
amurao
añasco
anastacio
anave
ancheta 
ancho
anchoriz
anda
andal 
andan
andaya
anden
anderson
andrada 
andrade
andrade 
andrales
andres 
anga
angawanon
angco
angeles
angeo
angga
angkahan
angot
angulo
anonas
añora
ansit 
antes
antic
apa
aquino
araneta
arcilla
arcillas
ardiente
arellano
arong
arpon
arradaza
aseo
asis
atamosa
ates
atilano
auguis
augusto
auténtico
autida
auxtero
avenido
ávila
awiten
aying
ayoc
ayog
ayuban
baagen willy
babanto
babia
babor
bacalso
bacani 
bacares
bacod
bacolod
bacon
bacor
bacquian
bactong
bacudio
baculo
bacus
badel
badilla
bado
badong
baello
baga
bagatnan
bagatsing 
bagayna
bagcal
bagon
bagsic
bagsican
bagtas
baguinat
baguio
bahian
bajala 
balaba
balagtas
balaguer
balagulan
balais
balajadia
balang
balangao 
balangel
balangitan
balasabas
balat
balatero
balbaira
balbas
balbin
balbutin
balcita
baldado
baldemoro 
balderas
baldomar
baldonado
balenti
balequia
balestramon
balgos
balidiong
baligod
balisacan
balita
baliwan
ballena
ballesteros
balmaceda 
balmes 
balmores
balobalo
balocating
baltazar
balucio
baluran
baluyut
bamba
banaag
banares
bañarez
bandelaria
bandiala
báñez
banguardia 
banisay
baño
bansil
banta
bantad
bantilan
bantilán
banzón 
banzuela
baquiran 
baraquiel 
barba 
barber 
barbin
barbosa
barbosa 
barcellano 
barcelo
barcelona 
bárcenas 
bardaje
bardoz
baria
baring
barnachea
barnedo
baroro
barquilla
barrameda 
barrera 
barrete
barretto 
barrientos
barrientos 
barrinuevo
barrios 
barroga
bartolabac
bartolo
bartolomé 
basa 
basco
bascos
basiao
basilio 
basnillo
batac 
batacan
bation
batolina
batumbakal
bautista
bautista 
bawalan
bawar
bayawa
