aaron
abe
abelardo
abet
abraham
ace
achilles
aclidan
adan
adelito
adolfo
adong
adonis
ador
adrian
adriano
adriatico
advin
agaton
agelio
alamon
alan
albear
albert
alberto
alby
alden
aldimer
aldong
aldrin
aldryn
alejandro
alek
aleman
aleser
alex
alexander
alexis
alexius
alfero
alfie
alfon
alfons
alfonso
alfred
alfredo
alfuro
alger
aljon
allan
allen
allin
almerino
alvan
alvar
alvaro
alvin
alvino
amadeo
amboy
amer
amper
anacleto
anataliio
anderson
andoy
andoy purdoy
andrade
andre
andrei
andres
andrew
andrian
angel
angelito
angelu
angelus
angking
anjo
anmer
ano
anotado
anselmo
antolin
antonie
antonietto
antonio
antony
apechi
apolinar
apollo
apolonio
aquiles
arcadio
arce
archie
archival
arden
ardot
ares
areslito
areston
arfie
arfon
argie
ariel
aries
aris
arja
arjim
arleigh
arman
armando
arnado
arnel
arnie
arnill
arnilo
arnoco
arnold
arnoldo
arnolfo
arnulfo
arshen
arsing
artemio
arthur
arturo
arvie
arvin
arzie
asyong
augustine
aurelio
austin
avelino
axel
baby
badoy
bahadir
bajenting
baki
baltazar
banban
baning
banjo
baron
basilio
baste
bato
beau
beethoven
ben
benabe
benben
bendecio
benedict
bengil
benhur
benjamin
benji
benjie
benjoseph
bentot
bernabe
bernard
bernarda
bernardo
bersamin
berting
berto
bethooven
biboy
bido
bienvenido
bienvinido
bikoy
biktoy
billy
binsoy
bintoy
bipoy
bitoy
bjorn
blen
bob
bobby
boboy
bogart
bogert
bonbon
bong
bongbong
boniel
bonjovi
boy
boyax
boyboy
boyet
brandon
braxton
brendo
brent
bret
brewster
brian
bricel
brix
brodelio
brody
buchoy
buddy
butchoy
cadlos
caloy
camillo
capistrano
capito
cardo
carias
carl
carlos
catalino
caudillo
cedie
cedric
cefriano
celedonio
celso
cerio
cerj
cerna
cerwin
cesante
cesar
cesario
chad
chanak
charles
charlie
charlito
chester
chiron
chito
chokloy
chris
christian
christopher
chula
ciano
cielo
cinbeth
cipriano
ciriaco
cirilo
clarence
clarense
clark
claros
claudio
cleave
clemente
clent
cleret
clifford
climaco
climark
clint
clinton
cloyd
clyde
clydiejun
cole
colin
condrado
condring
conner
corea
cornelio
craige
crisden
crisinciano
crisostomo
crispin
crispulo
cristian
cristito
cristitulo
crys
cyano
cyril
cyrus
dacuma
dale
dalmacio
dan
dandan
daniel
danilo
dann
danny
dansoy
danver
dari
dario
darius
darren
darwin
daryl
dave
david
davin
davinder
davis
dean
dejie
delax
delio
delmar
delson
dencio
denden
dennes
dennis
densing
derold
derrick
dex
dexter
didoy
diel
digong
dilvo
dindin
dindo
dion
dionesio
dionisio
dionson
diosdado
dmitri
dodot
domeng
dominador
doming
dominic
donald
donaldo
donato
dondon
donying
donyong
doug
doyle
dranreb
dumdum
durado
dwayne
dwight
dylan
dyyhin
earl
ebenezer
eboy
edcel
eddie
edelizo
ederlino
edgar
edgie
edilberto
edison
edmar
edmund
edmundo
edot
edoviges
edoy
edsel
eduard
eduardo
eduvigio
edvic
edwad
edward
edwin
edyong
efipanio
efrelio
egay
egie
el cid
elardo
elcid
elde
eleazar
elgie
elias
eliezar
eliseo
elly
elmar
elmer
elnar
elpidio
elueterio
elvin
elvis
elvy
elyong
emanuel
emelito
emeniano
emeterio
emmanuel
emoy
enan
eniego
enrile
enrique
enteng
enting
ep-ep
epefanio
ephraim
epraem
erano
erby
erenio
erick
erico
ericson
ermac
ermar
ernest
ernesto
erning
ervin
erwin
esmiraldo
estong
eugenio
eulogio
eustaquio
eutiquio
euwen
evans
evelio
exelsis
exequiel
exuperio
faustino
fausto
federico
fel
felecio
felicisimo
felix
felizardo
feljur
felmar
felotio
fergus
fermin
fernan
fernando
fidel
fiel
fifth
filemon
filomena
filomeno
flaviano
flavio
flint
florencio
florentino
florian
florito
francesco
francis
francisco
franciso
franco
frank
franklin
franklyn
franz
freddie
frederic
frederick
freed
fritz
fritzgerald
fructuoso
fulbert
fullbert
gab
gabrillo
galileo
gammy
gangan
garciano
garry
gary
gasper
gaudencio
gelo
gelot
gelou
gemo
gemon
genar
genaro
gener
genesis
genie
geofrey
george
georgie
georgii
gerado
geraldez
gerardo
gernald
gerome
gerson
gertrudes
ghen
gian
gil
gilbert
gilberto
gilfred
gilmore
gina
gingo
gino
giomel
giovanni
glen
glenard
glicerio
gob
godfrey
godofredo
gohan
gonesto
gorial
goryo
goten
greg
gregor
gregorio
gregory
greman
guaren
guiller
guillermo
gumer
gumersindo
hamham
hans
hansel
hanzel
harvy
henry
herbert
hercules
hermie
herminigildo
hernan
hernando
herve
hilario
hiroshi
hong
hopkins
hossein
ian
ignacio
ignario
ike
iker
iko
ikong
iliot
iñego
insoy
inting
intoy
ion
ireneo
isidro
isko
islaw
isles
ismael
ivan
ivar
ivo
iwapt
jacinto
jack
jackson
jackz
jaco
jacob
jade
jaggy
jaimei
jake
james
janelito
janjan
jano
jans
jansen
januar
japeth
japher
japjap
jared
jason
jaspe
jasper
javier
jaworski
jay-ar
jay-r
jayjay
jaylord
jaymar
jayme
jaymos
jayson
jec
jecko
jecree
jed
jeff
jefferson
jeganiel
jemar
jembo
jemboy
jenard
jeniver
jephon
jerald
jeremy
jerico
jerome
jeron
jerone
jerry
jerson
jertaño
jerus
jervin
jerwel
jeshua
jeslar
jesomar
jesrel
jesriel
jesse
jessin
jestoni
jesus
jeve
jherson
jhomer
jhon
jhonnylou
jhozel
jiffy
jigger
jilou
jim
jimbo
jimboy
jimeno
jimmy
jimny
jimrod
jinggoy
jiovanie
jitlee
jjon
jobal
jobert
joe
joed
joefrey
joelito
joerge
joey
joffre
johann
john
john-rey
johnny
johnnylou
johnrey
johnrober
